where,law,clause,what_it_asks_for,who_it_reaches,who_it_does_not_reach,from_when,source_url,exact_quote
California,California Business and Professions Code § 22602(b) (SB 243),§ 22602(b),Hold a self-harm crisis protocol and publish it,"Operators of companion chatbots: the bot does not engage with users at all unless the operator maintains a crisis protocol, and the details of that protocol are published on the operator's website.","This is a protocol and a published page, not a notice line — a disclosure sentence does not answer it.",1 January 2026,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC§ionNum=22602.,"An operator shall prevent a companion chatbot on its companion chatbot platform from engaging with users unless the operator maintains a protocol for preventing the production of suicidal ideation, suicide, or self-harm content to the user"
California,"California AI Transparency Act, Business and Professions Code § 22757.1(d) (SB 942 as amended by AB 853)",§ 22757.1(d),The size test that decides whether this chapter reaches you at all,"A person who creates, codes or otherwise produces a generative AI system with over 1,000,000 monthly visitors or users that is publicly accessible inside California.","It does not reach a generative AI system under that monthly threshold, or one that is not publicly accessible in California; and the chapter does not apply at all to products offering exclusively non-user-generated video game, television, streaming, movie or interactive experiences.",2 August 2026,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=8.&title=&part=&chapter=25.&article=,"means a person that creates, codes, or otherwise produces a generative artificial intelligence system that has over 1,000,000 monthly visitors or users and is publicly accessible within the geographic boundaries of the state."
California,"California AI Transparency Act, Business and Professions Code § 22757.3(a)",§ 22757.3(a),Offer the user a visible “this is AI-generated” label,"Covered providers, for image, video or audio content their generative AI system created or altered: the user is offered the option of a manifest disclosure that identifies the content as AI-generated, is clear and conspicuous, and is permanent or extraordinarily difficult to remove.","This is an option offered to the user, not a label the provider must stamp on everything; and it is written about image, video and audio rather than text.",2 August 2026,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=8.&title=&part=&chapter=25.&article=,"A covered provider shall offer the user the option to include a manifest disclosure in image, video, or audio content, or content that is any combination thereof"
California,"California AI Transparency Act, Business and Professions Code § 22757.3(b)",§ 22757.3(b),"Embed hidden provenance data in AI-generated image, video and audio","Covered providers: a latent disclosure carrying the provider's name, the system name and version, the time and date of creation or alteration and a unique identifier, detectable by the provider's own detection tool.","A visible sentence on a page does not answer this — it asks for data inside the file — and it is written about image, video and audio rather than text.",2 August 2026,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=8.&title=&part=&chapter=25.&article=,"A covered provider shall include a latent disclosure in AI-generated image, video, or audio content, or content that is any combination thereof"
California,"California AI Transparency Act, Business and Professions Code § 22757.2(a)",§ 22757.2(a),Publish a free AI detection tool,"Covered providers: a publicly accessible detection tool, free to the user, that reports system provenance data and supports an application programming interface.","It is a tool to build and host, not a notice to write; nothing in a notice pack answers it.",2 August 2026,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=BPC&division=8.&title=&part=&chapter=25.&article=,A covered provider shall make available an AI detection tool at no cost to the user
Colorado,"Colorado SB 24-205, repealed and reenacted by SB26-189",SB26-189 bill summary,The 2024 Colorado AI Act is not the rule to write a notice against,Nothing: the General Assembly's own summary of SB26-189 says the act repeals and reenacts the 2024 provisions with new requirements.,A notice written to the 2024 Colorado AI Act text is written to provisions that were repealed and reenacted.,signed 14 May 2026,https://leg.colorado.gov/bills/sb26-189,"In 2024, the general assembly enacted Senate Bill 24-205, which created consumer protections in interactions with artificial intelligence systems."
Colorado,"Colorado SB26-189, Automated Decision-Making Technology","SB26-189 bill summary, consumer notice",Clear and conspicuous notice at the point of interaction with a covered ADMT,"Deployers of an automated decision-making technology used to materially influence a consequential decision — education, employment, housing, financial or lending services, insurance, health care, or essential government services and public benefits.","It does not reach a technology that is not used to materially influence one of those listed consequential decisions, and specified entities are exempted to the extent they comply with other legal obligations.",see the date note on this row,https://leg.colorado.gov/bills/sb26-189,"The act establishes consumer notice requirements, mandating that deployers provide clear and conspicuous notice to consumers at the point of interaction with a covered ADMT."
Colorado,"Colorado SB26-189, Automated Decision-Making Technology","SB26-189 bill summary, adverse outcome",Plain-language description within 30 days of an adverse consequential decision,"Deployers, after a covered ADMT makes a consequential decision that results in an adverse outcome for the consumer.","It is not triggered by a decision with no adverse outcome, and the attorney general is directed to write rules clarifying these post-adverse-outcome disclosures by 1 January 2027.",rules due by 1 January 2027,https://leg.colorado.gov/bills/sb26-189,within 30 days after the covered ADMT makes a consequential decision that results in an adverse outcome for the consumer
Colorado,"Colorado SB26-189, Automated Decision-Making Technology","SB26-189 bill summary, developer documentation",Give the deployer technical documentation from 1 January 2027,"Developers of a covered ADMT: intended uses, categories of training data, known limitations, and instructions for appropriate use and human review, plus notice of material updates.","It is a developer-to-deployer document, not a consumer notice; a company that only deploys somebody else's technology is on the receiving end of it.",1 January 2027,https://leg.colorado.gov/bills/sb26-189,"starting January 1, 2027, to provide a deployer of a covered ADMT (deployer) with technical documentation describing the covered ADMT"
Colorado,"Colorado SB26-189, Automated Decision-Making Technology","SB26-189 bill summary, records",Keep compliance records for at least three years,Both developers and deployers of a covered ADMT.,It says nothing about what a consumer is shown; a notice does not answer a record-keeping duty.,see the date note on the notice row,https://leg.colorado.gov/bills/sb26-189,Both developers and deployers are required to retain records necessary to demonstrate compliance with the act for at least 3 years.
Colorado,"Colorado SB26-189, Automated Decision-Making Technology","SB26-189 bill summary, human review",Consumers may request meaningful human review and reconsideration,"Consumers, after a covered ADMT makes a consequential decision resulting in an adverse outcome; they may also request the personal data used and correction of factually incorrect data.","It is a right the consumer exercises, not a line of notice text, so a notice pack can point at it but cannot satisfy it.",see the date note on the notice row,https://leg.colorado.gov/bills/sb26-189,The act also grants consumers the right to request meaningful human review and reconsideration following a covered ADMT making a consequential decision resulting in an adverse outcome.
Utah,"Utah Code 13-75-103(1) (S.B. 226, 2025)",13-75-103(1),Answer honestly when a consumer asks whether they are talking to AI,"A supplier using generative AI to interact with an individual in connection with a consumer transaction, once that individual asks or otherwise prompts about whether AI is being used.","It does not require an unprompted notice in a consumer transaction: the duty runs when the individual asks, and the ask has to be a clear and unambiguous request.",7 May 2025,https://le.utah.gov/Session/2025/bills/enrolled/SB0226.pdf,A supplier that uses generative artificial intelligence to interact with an individual in connection with a consumer transaction shall disclose to the individual that the individual is interacting with generative artificial intelligence and not a human
Utah,"Utah Code 13-75-103(2)–(3) (S.B. 226, 2025)",13-75-103(2)–(3),"Regulated occupations: disclose prominently, up front","An individual providing services in a regulated occupation, where generative AI use in providing those services is a high-risk AI interaction: verbally at the start of a verbal interaction, and in writing before a written one.","It does not reach an occupation that is not regulated, or a use that is not a high-risk AI interaction.",7 May 2025,https://le.utah.gov/Session/2025/bills/enrolled/SB0226.pdf,prominently disclose when an individual receiving services is interacting with generative artificial intelligence in the provision of regulated services if the use of generative artificial intelligence constitutes a high-risk artificial intelligence interaction
Utah,"Utah Code 13-75-104 (S.B. 226, 2025)",13-75-104,The safe harbour: disclose at the outset and throughout,"A person whose generative AI clearly and conspicuously discloses, at the outset of the interaction and throughout it, that it is generative AI, is not human, or is an AI assistant.",It removes an enforcement action under 13-75-103 and nothing else; it is not a safe harbour for any other state's rule or for the EU.,7 May 2025,https://le.utah.gov/Session/2025/bills/enrolled/SB0226.pdf,A person is not subject to an enforcement action for violating Section 13-75-103 if the person
Maine,"Maine Revised Statutes, 10 M.R.S. § 1500-DD(2)",§ 1500-DD(2),Tell the consumer they are not engaging with a human being,"A person using an AI chatbot, or any other computer technology, to engage in trade and commerce with a consumer in a way that may mislead or deceive a reasonable consumer into believing they are engaging with a human being.","It does not reach a use that could not mislead or deceive a reasonable consumer, and the duty falls away where the consumer is notified clearly and conspicuously.",see the date note on this row,https://legislature.maine.gov/statutes/10/title10sec1500-DD.html,A person may not use an artificial intelligence chatbot or any other computer technology to engage in trade and commerce with a consumer in a manner that may mislead or deceive a reasonable consumer into believing that the consumer is engaging with a human being
