sitting,question_no,topic,cbp_official_answer,our_explanation
April 2025,15,Broker Compliance,B,"Under 19 CFR 111.36(c)(1), a broker may compensate a freight forwarder for referrals only if ""the importer or other party in interest is notified in advance by the forwarder or broker of the name of the broker selected by the forwarder for the handling of his Customs transactions."" This requirement makes option B the legally true statement, as it accurately reflects the mandatory advance notification to the importer."
April 2025,21,Modernized Drawback,A,"The regulation text provided does not list the specific criteria in paragraph (e)(1)(i)-(iii) that CBP considers, but it does outline the general scope and application requirements for accelerated payment. Option A, regarding the number of trade compliance employees hired, is not mentioned anywhere in the provided text and is not a standard criterion for reviewing an applicant's record with CBP. Options B, C, and D relate to the claimant's compliance history, accuracy, and prior status, which are the types of factors CBP would logically review to ensure the applicant meets the requirements for accelerated payment without omissions or inconsistencies. Therefore, the number of employees hired is the item NOT identified among the specified criteria."
April 2025,23,Modernized Drawback,C,"Option C is correct because 19 CFR 190.7(b)(2) states that letters of notification of intent to operate under a general manufacturing drawback ruling ""must be submitted to any drawback office where drawback entries will be filed, concurrent with or prior to filing a claim, provided that the general manufacturing drawback ruling will be followed without variation."" This regulation explicitly requires the submission to happen at the same time as or before the claim is filed, matching the scenario described in Option C."
April 2025,24,Modernized Drawback,D,"Under 19 CFR 190.72(b)(3), valid supporting documentary evidence for exportation includes ""Official postal records (originals or copies) which evidence exportation by mail."" Option D is the only choice that constitutes an official postal record, as it provides the original USPS Customs Declaration and Dispatch Note with a barcode label and payment receipt. Options A, B, and C are commercial invoices, emails, or affidavits, which do not meet the specific requirement for official postal documentation cited in the regulation."
April 2025,41,Entry / Entry Summary,A,"Under 19 CFR 113.13(c), if CBP determines that a bond is inadequate, the principal and surety are promptly notified in writing. The regulation explicitly states that ""The principal will have 15 days from the date of notification to remedy the deficiency."" Therefore, option A is the correct answer because it matches the specific 15-day timeframe mandated by the cited text."
April 2025,43,Entry / Entry Summary,A,"The regulation explicitly states that the marking of the country of origin must be ""legible, indelible, and permanent."" Therefore, option A is the correct answer because it directly matches the third requirement listed in the text."
April 2025,44,Entry / Entry Summary,D,"The official answer is D because 19 CFR 18.1 explicitly defines the process for transporting merchandise in-bond, which the regulation describes as moving imported goods ""from one port to another prior to the appraisement of the merchandise and without the payment of duties."" This definition directly matches the client's request to move avocados from Los Angeles to San Francisco without appraisal or duty payment. Therefore, the general rules and application requirements found in § 18.1 govern this specific type of in-bond transportation."
April 2025,45,Entry / Entry Summary,C,"Under 19 CFR 159.6(c), when the difference between liquidated duties and estimated duties is ""$20 or more,"" the regulation states that ""bills or refund checks will be issued."" Since the discrepancy here is $250.00 ($1,000.00 deposited minus $750.00 ascertained), which exceeds the $20 threshold, CBP is required to issue a refund check for the overpayment."
April 2025,46,Entry / Entry Summary,A,"Under 19 CFR 145.31, the port director will pass free of duty and tax, without preparing an entry, packages containing merchandise having an ""aggregate fair retail value in the country of shipment of not over $800."" Option A qualifies because the jade figurines have a fair retail value of $799.00 in India, the country of shipment, which is not over the $800 threshold."
April 2025,47,Entry / Entry Summary,C,"The correct answer is C because 19 CFR 12.48 is the specific regulation titled ""Importation prohibited; exceptions to prohibition of importation; procedure,"" which directly governs the importation of United States postage stamps. The text explicitly details the conditions under which the importation of illustrations or reproductions of canceled and uncanceled United States postage stamps is permitted, such as for philatelic or educational purposes. Therefore, this section is the authoritative provision addressing the scenario described in the question."
April 2025,48,Entry / Entry Summary,A,"Under 19 CFR 159.12(a)(1), the regulation explicitly states that the Center director ""may extend the 1-year statutory period for liquidation for an additional period not to exceed 1 year"" when good cause is shown. This specific language directly supports option A, as it caps the initial extension at one year. While the regulation allows for further extensions under certain conditions, the question asks for the duration of the extension granted upon a timely request demonstrating good cause, which is defined as not exceeding one year."
April 2025,49,Entry / Entry Summary,A,"Option A is correct because 19 CFR 141.0a(b) explicitly states that an ""Entry summary"" means ""any other documentation or electronic submission of data necessary to enable CBP to assess duties, and collect statistics on imported merchandise, and determine whether other requirements of law or regulation are met."" This definition distinguishes the entry summary from the initial entry documentation used to secure release, focusing instead on the data needed for duty assessment and statistical collection."
April 2025,52,Entry / Entry Summary,A,"Option A is the correct answer because the regulation text provided does not list ""merchandise of the type defined in 19 CFR 132.1(e)"" as a requirement for filing one entry summary for multiple entries. The actual requirements found in 19 CFR 142.17(a) include that the merchandise is consigned to the same consignee (Option B), each entry is identified separately by entry number (Option C), and the time between the first and last entry does not exceed one week (Option D)."
April 2025,54,Entry / Entry Summary,C,"Option C is the correct answer because a yacht used for commercial cruises is not listed among the specific exceptions in 19 CFR 141.4(b), which only exempts items like ""Vessels (not including vessels classified in headings 8903 and 8907...)"" and ""Instruments of international traffic described in § 10.41a and § 10.41b(b)."" Since the regulation text does not provide an exemption for commercial vessels or yachts, this item requires formal entry, unlike the other options which align with the listed exceptions for instruments of international traffic or other specific categories."
April 2025,55,Entry / Entry Summary,C,"Under 19 CFR 146.7(b), a grantee or operator must make a ""written application"" to the port director for deactivation, which means an oral application is not a valid consideration for approval. The regulation further specifies that the application must indicate the exact site by ""layout or blueprint"" and that the port director shall not approve unless all non-domestic status merchandise has been removed at the operator's risk and expense. Therefore, options A and B are required elements, while option C is the correct answer because the process explicitly demands a written, not oral, submission."
